x
CD4 Naive
CD4 TEM
B naive
CD4 TCM
CD4 TEM
B memory
CD14 Mono
MAIT
Platelet
CD14 Mono
B intermediate
CD8 TEM
B intermediate
CD8 TEM
CD8 Naive
CD14 Mono
CD14 Mono
NK
CD8 TEM
B naive
NK_CD56bright
CD4 Naive
MAIT
CD16 Mono
CD14 Mono
CD4 Naive
B naive
CD4 TCM
CD8 Naive
CD4 TEM
CD14 Mono
CD14 Mono
CD14 Mono
NK
CD4 TCM
CD4 TCM
NK
CD8 TEM
NK
CD4 Naive
CD14 Mono
CD16 Mono
CD14 Mono
B naive
CD4 TCM
NK Proliferating
CD14 Mono
CD4 Naive
CD8 TCM
CD8 TEM
MAIT
B naive
pDC
CD16 Mono
CD14 Mono
B intermediate
B naive
Platelet
CD14 Mono
CD4 Naive
CD8 Naive
CD4 TEM
CD14 Mono
B memory
CD4 Naive
CD14 Mono
NK
CD8 Naive
CD4 Naive
CD14 Mono
CD8 Naive
CD8 Naive
CD16 Mono
CD16 Mono
B memory
CD14 Mono
CD8 TEM
CD8 Naive
CD14 Mono
B intermediate
NK
CD14 Mono
Platelet
CD14 Mono
CD14 Mono
CD14 Mono
cDC2
CD14 Mono
CD14 Mono
B intermediate
CD4 Naive
CD14 Mono
CD8 Naive
CD4 Naive
CD8 Naive
CD8 Naive
CD14 Mono
CD14 Mono
CD8 Naive
MAIT
CD8 TEM
CD14 Mono
Platelet
CD8 TEM
CD14 Mono
CD14 Mono
CD8 TEM
gdT
CD14 Mono
CD4 TCM
CD4 Naive
CD4 Naive
CD4 TCM
CD16 Mono
CD8 Naive
CD8 TEM
CD4 Naive
CD8 TEM
CD4 Naive
CD14 Mono
NK
CD4 TCM
CD14 Mono
NK
CD14 Mono
CD16 Mono
gdT
CD16 Mono
CD4 Naive
CD4 TCM
CD4 TCM
CD4 Naive
CD14 Mono
CD14 Mono
gdT
CD4 TEM
NK
Plasmablast
CD14 Mono
CD14 Mono
pDC
Treg
NK
CD8 Naive
CD8 TCM
NK
NK
CD4 Naive
CD4 Naive
NK
B intermediate
pDC
NK Proliferating
CD14 Mono
NK
CD4 TCM
CD8 TEM
CD4 Naive
CD14 Mono
CD14 Mono
CD14 Mono
CD8 Naive
NK
CD4 Naive
CD4 TCM
CD14 Mono
