x
B naive
CD14 Mono
CD4 TCM
CD4 TEM
NK
gdT
CD4 TCM
CD4 TCM
CD4 TCM
CD14 Mono
CD16 Mono
CD14 Mono
CD14 Mono
CD14 Mono
CD14 Mono
CD4 TCM
CD4 TEM
CD4 Naive
Plasmablast
CD14 Mono
B memory
CD4 TCM
CD14 Mono
CD14 Mono
Platelet
CD14 Mono
B memory
CD4 TCM
NK
B naive
CD16 Mono
CD4 TCM
CD8 Naive
NK
NK
CD14 Mono
CD14 Mono
CD4 Naive
CD4 TCM
CD4 Naive
CD14 Mono
CD14 Mono
CD16 Mono
NK
CD14 Mono
CD14 Mono
CD8 TCM
CD8 TEM
CD8 TEM
CD4 TCM
B naive
CD14 Mono
CD4 Naive
CD14 Mono
CD8 TEM
CD4 Naive
CD14 Mono
CD8 Naive
CD4 TCM
Treg
CD14 Mono
CD14 Mono
CD14 Mono
CD8 Naive
gdT
B memory
CD8 Naive
CD14 Mono
CD4 TCM
Platelet
CD4 TEM
CD4 Naive
NK
NK
CD8 TCM
B naive
CD8 TEM
CD14 Mono
NK
CD14 Mono
CD4 Naive
CD14 Mono
CD4 TCM
Eryth
CD8 Naive
CD14 Mono
CD8 Naive
CD8 TCM
NK
CD14 Mono
CD14 Mono
ILC
CD8 Naive
CD14 Mono
pDC
CD14 Mono
NK
CD4 TCM
gdT
CD4 Naive
B naive
CD8 Naive
CD14 Mono
NK
CD14 Mono
B intermediate
B intermediate
CD8 TEM
CD8 Naive
B memory
CD4 TCM
B naive
CD8 TEM
CD8 TEM
CD4 Naive
CD14 Mono
CD14 Mono
CD14 Mono
CD8 Naive
CD4 TCM
CD4 Naive
MAIT
NK
CD4 TCM
CD4 TEM
CD4 TCM
CD14 Mono
CD14 Mono
CD4 Naive
CD16 Mono
gdT
B naive
CD8 Naive
CD8 TCM
CD14 Mono
CD4 Naive
CD4 TEM
CD4 Naive
B naive
NK
NK
CD14 Mono
CD4 TCM
B intermediate
NK
gdT
CD4 Naive
B naive
CD8 Naive
CD4 Naive
NK
CD8 Naive
CD4 Naive
CD4 TEM
B memory
CD4 Naive
CD14 Mono
B memory
CD4 TCM
B naive
CD4 TEM
CD14 Mono
CD8 Naive
CD14 Mono
CD4 TCM
CD14 Mono
NK
CD14 Mono
CD14 Mono
CD14 Mono
CD14 Mono
NK
NK
HSPC
CD4 TCM
NK
CD8 Proliferating
CD14 Mono
CD4 Naive
CD4 Naive
CD14 Mono
CD4 Naive
CD14 Mono
CD4 CTL
CD4 TCM
NK
CD14 Mono
B memory
CD14 Mono
Treg
CD4 Naive
NK
CD14 Mono
NK
CD16 Mono
CD4 Naive
CD4 TEM
CD14 Mono
CD14 Mono
dnT
NK
CD4 Naive
B memory
CD4 Naive
CD4 TCM
CD14 Mono
CD8 TCM
CD14 Mono
CD8 Naive
CD4 Naive
Treg
CD14 Mono
CD8 TEM
gdT
CD8 TCM
NK
CD4 TCM
CD14 Mono
CD14 Mono
CD4 TEM
CD4 TCM
Plasmablast
CD4 TCM
CD8 Naive
CD14 Mono
NK
B intermediate
CD14 Mono
CD4 TCM
CD14 Mono
MAIT
cDC2
CD4 TCM
CD8 TEM
CD14 Mono
CD14 Mono
CD4 Naive
CD14 Mono
B naive
CD4 Naive
CD14 Mono
CD8 Naive
CD14 Mono
CD14 Mono
CD4 Naive
CD4 TEM
cDC2
NK
CD14 Mono
CD4 TCM
CD8 TEM
CD4 Naive
CD8 TCM
CD8 Naive
cDC1
CD14 Mono
CD14 Mono
CD4 Naive
NK
CD14 Mono
B naive
CD4 Naive
cDC2
CD4 TCM
CD14 Mono
CD4 TCM
CD8 TEM
NK
CD14 Mono
CD14 Mono
B naive
CD4 TCM
CD8 TEM
CD14 Mono
B naive
CD4 TCM
CD14 Mono
CD14 Mono
CD14 Mono
MAIT
CD8 TEM
CD14 Mono
CD8 TEM
NK Proliferating
NK
CD4 Naive
CD4 CTL
CD16 Mono
CD14 Mono
CD14 Mono
MAIT
CD14 Mono
CD16 Mono
CD8 TEM
B naive
CD14 Mono
CD4 TCM
NK
CD14 Mono
CD4 TEM
NK
CD4 Naive
B naive
CD14 Mono
CD8 TCM
CD4 Naive
CD4 TCM
CD14 Mono
CD16 Mono
cDC2
CD14 Mono
CD16 Mono
CD14 Mono
CD14 Mono
CD14 Mono
CD4 Naive
NK
CD14 Mono
pDC
CD4 TCM
CD4 Naive
CD4 Naive
CD4 TCM
CD4 TCM
CD16 Mono
cDC2
CD14 Mono
MAIT
CD8 Naive
CD4 TCM
CD8 TEM
CD4 TCM
CD4 Naive
CD8 TEM
CD8 TCM
CD8 TEM
NK_CD56bright
CD4 CTL
NK
CD14 Mono
CD4 TCM
B memory
CD4 TCM
CD4 Naive
B naive
CD4 Naive
CD8 TEM
Platelet
CD4 Naive
CD14 Mono
CD4 TCM
NK
NK
CD14 Mono
CD14 Mono
CD4 TEM
CD4 Naive
CD14 Mono
CD4 Naive
CD14 Mono
CD16 Mono
MAIT
Treg
Treg
CD4 TCM
CD14 Mono
CD8 TEM
gdT
CD14 Mono
CD4 Naive
CD8 TEM
CD4 TCM
CD14 Mono
CD8 TEM
CD4 Naive
CD8 TEM
CD14 Mono
gdT
NK
